Find Year,Main Fabric,Fabric Count,Year Total Count,Fabric Proportion
2019,Stone,2,126,0.016
2019,Chert,1,126,0.008
2022,Terracotta,16,95,0.168
2022,Impasto,15,95,0.158
2022,Fine Impasto,13,95,0.137
2022,Iron,8,95,0.084
2022,Plaster,8,95,0.084
2022,Bucchero,6,95,0.063
2022,Shell,6,95,0.063
2022,Bone,5,95,0.053
2022,Coarse Ware,5,95,0.053
2022,Bronze,4,95,0.042
2022,Soil,3,95,0.032
2022,Horn,2,95,0.021
2022,Cream Ware,1,95,0.011
2022,Fine Ware,1,95,0.011
2022,Lead,1,95,0.011
2022,Obsidian,1,95,0.011
2023,Terracotta,34,132,0.258
2023,Fine Impasto,18,132,0.136
2023,Bone,14,132,0.106
2023,Coarse Ware,13,132,0.098
2023,Bronze,12,132,0.091
2023,Organic,11,132,0.083
2023,Impasto,8,132,0.061
2023,Iron,7,132,0.053
2023,Antler,3,132,0.023
2023,Bucchero,3,132,0.023
2023,Fine Ware,3,132,0.023
2023,Amber,1,132,0.008
2023,Clay,1,132,0.008
2023,Glass,1,132,0.008
2023,Plaster,1,132,0.008
2023,Slag,1,132,0.008
2023,Stone,1,132,0.008
