Item Label,URI,Citation URI,Project,Project URI,Context,Context [2],Context [3],Context [4],Context [5],Context [6],Context [7],Context URI,Latitude (WGS 84),Longitude (WGS 84),Early BCE/CE,Late BCE/CE,Item Category,icon,Thumbnail,Published Date,Updated Date,Consists of,Consists of [URI],Has type,Has type [URI],Has type [cidoc-crm-p2-has-type],Has type [cidoc-crm-p2-has-type] [URI],Consists of [cidoc-crm-p45-consists-of],Consists of [cidoc-crm-p45-consists-of] [URI],Fabric Category,Object Type [24-object-type],Object Type,Find Year,Main Fabric,Main Object Type
PC 19720199,http://opencontext.org/subjects/e21a75e8-e7e6-44c1-6a35-cb5b9d4ddb17,https://n2t.net/ark:/28722/k2kw5cj6c,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 19,"1972, ID:77",,https://opencontext.org/subjects/8161df34-30a4-4b36-977f-ed68ea59ca5a,43.15349189975144,11.40183532865607,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19720199bwjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T04:52:44Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,antefixes,https://vocab.getty.edu/aat/300002217,Antefix,https://en.wikipedia.org/wiki/Antefix,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Antefix,1972,Terracotta,Architectural
PC 19810218,http://opencontext.org/subjects/cccbd98a-90eb-4e34-5867-3b313c1f8b1d,https://n2t.net/ark:/28722/k2d50kx3n,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 25,"1981, ID:100",,https://opencontext.org/subjects/7dd8061f-fcc1-4e69-c8d6-50fcb1cbf2a0,43.152686988434745,11.401278880884371,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19810218bwjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T18:45:38Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,antefixes,https://vocab.getty.edu/aat/300002217,Antefix,https://en.wikipedia.org/wiki/Antefix,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Antefix,1981,Terracotta,Architectural
PC 19710082,http://opencontext.org/subjects/36d71b04-7154-4233-7dd6-8462eed30e41,https://n2t.net/ark:/28722/k2h41pn6q,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 17,"1971, ID:68",,https://opencontext.org/subjects/a7f2ccbf-3a83-4aa0-2bd0-0e2e99900624,43.153579663208994,11.401445992731919,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19710082illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T20:29:06Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),bowls (vessels),https://vocab.getty.edu/aat/300203596,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,Impasto,,Vessel,1971,Impasto,Vessel
PC 19840052,http://opencontext.org/subjects/56af0ffc-d673-4cd7-503a-ebac94ecb4b6,https://n2t.net/ark:/28722/k20c4xj5p,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1984, ID:117",,https://opencontext.org/subjects/ac23fdfa-a661-4eaf-5b68-64409f2dee3c,43.1526410782075,11.401718748752351,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19840052bwjpg.jpg,2012-12-28T00:00:00Z,2024-02-01T03:55:32Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,,,,,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Ridge Pole Tile,1984,Terracotta,Architectural
PC 19820090,http://opencontext.org/subjects/cdc91bb3-598a-407b-54f5-b0d9ed0ad3b3,https://n2t.net/ark:/28722/k27p8zd15,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1982, ID:112",,https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451,43.15260047689146,11.40194863518002,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19820090bwjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T11:29:55Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,cymas,https://vocab.getty.edu/aat/300003517,,,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Lateral Sima,1982,Terracotta,Architectural
PC 19710100,http://opencontext.org/subjects/674c3e42-7464-40d0-1354-2521606875aa,https://n2t.net/ark:/28722/k2b57048r,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro Rectangle,Tesoro Rectangle 7,"1971, ID:283",,https://opencontext.org/subjects/b91809da-a28d-438b-f735-636d941825e1,43.15338856704307,11.40140530148029,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19710100jpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T05:27:32Z,bone (material),https://vocab.getty.edu/aat/300011798,figurines,https://vocab.getty.edu/aat/300047455,,,,,Bone,,Figurine / Statuette,1971,Bone,Figurine / Statuette
PC 19690044,http://opencontext.org/subjects/73990554-1704-4bab-6a0f-0868a93b3e60,https://n2t.net/ark:/28722/k2gf0rt9n,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 28,"1969, ID:192",,https://opencontext.org/subjects/a63e424c-a2af-469b-a85d-ac1cc690b2a9,43.15349217078088,11.401182208448631,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19690044illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T22:38:32Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,spools,https://vocab.getty.edu/aat/300023528,,,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Textile Related::Rocchetto,1969,Terracotta,Textile Related
PC 19730260,http://opencontext.org/subjects/54de1edb-7629-4633-7aa3-540e1ad24cec,https://n2t.net/ark:/28722/k2j10147h,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 18 Northern Extension,"1972, ID:72",,https://opencontext.org/subjects/aee1b762-b568-47fc-646a-76f7406fee0f,43.152609876758,11.402819672617,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19730260illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-02-01T01:57:46Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),<cups by form>,https://vocab.getty.edu/aat/300198636,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,Impasto,,Vessel,1973,Impasto,Vessel
PC 19970135,http://opencontext.org/subjects/9f20e0f4-8e71-48fc-f9a1-27877e62e5c1,https://n2t.net/ark:/28722/k2j67dv8b,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 25 Extension,"1997, ID:351",,https://opencontext.org/subjects/ca7d40fe-8c09-47f7-7a9a-db887b1c6f87,43.1527093113814,11.401383011237066,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19970135bwjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T17:25:46Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Impasto,,Vessel,1997,Impasto,Vessel
PC 19860056,http://opencontext.org/subjects/a212e156-26f6-44d5-8a47-1d38a8011f7f,https://n2t.net/ark:/28722/k2d79993c,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1986, ID:123",,https://opencontext.org/subjects/3b1b5bdc-9cea-4f21-46cf-a1698373cede,43.15260116050358,11.402121531923438,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19860056jpg.jpg,2012-12-28T00:00:00Z,2024-01-31T03:45:28Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,cover tile,https://vocab.getty.edu/aat/300162681,,,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Cover Tile,1986,Terracotta,Architectural
PC 20010078,http://opencontext.org/subjects/2ec9976e-3589-4ed4-d8b9-c954aba0e1b7,https://n2t.net/ark:/28722/k2x925h52,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 22 West Extension,"2001, ID:445",,https://opencontext.org/subjects/c0f52f4c-8161-4db6-0175-1bcae89cdc1d,43.15277003544003,11.401598702940783,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-20010078interiorjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T19:46:48Z,bronze (metal),https://vocab.getty.edu/aat/300010957,,,,,,,Bronze,,Ornament::Unspecified / Misc.,2001,Bronze,Ornament
PC 19690062,http://opencontext.org/subjects/67fd3c08-42c1-4b55-65ba-44a1d8b2ed9e,https://n2t.net/ark:/28722/k2hm56k4d,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 7,"1969, ID:55",,https://opencontext.org/subjects/db8a88c9-ca9e-44dd-9e67-aca26d5ae831,43.1531395795367,11.40131975378768,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,"https://iiif.archive.org/iiif/opencontext-24-19690062jpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T15:41:42Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,acroteria,https://vocab.getty.edu/aat/300002214,Acroterion,https://en.wikipedia.org/wiki/Acroterion,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Akroterion,1969,Terracotta,Architectural
PC 19980154,http://opencontext.org/subjects/65c889ae-a555-4c36-1ee0-b645749e4c59,https://n2t.net/ark:/28722/k2q818r5v,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26 North,"1998, ID:357",,https://opencontext.org/subjects/444151e3-24f0-421f-9bd9-6e29de9f62c7,43.15275842566721,11.401855699640912,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,"https://iiif.archive.org/iiif/opencontext-24-19980154bwjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T10:02:14Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,acroteria,https://vocab.getty.edu/aat/300002214,Acroterion,https://en.wikipedia.org/wiki/Acroterion,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Akroterion,1998,Terracotta,Architectural
PC 20040098,http://opencontext.org/subjects/089310cc-124f-4f3e-00e7-34cbe115ba1d,https://n2t.net/ark:/28722/k2r49m795,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 30D,"2004, ID:538",Locus 5,https://opencontext.org/subjects/23148053-ac44-46a6-aa13-98f078b7057e,43.152732097574216,11.401807676582271,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20040098cjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T23:57:37Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Impasto,,Vessel,2004,Impasto,Vessel
PC 20120159,http://opencontext.org/subjects/3bacfbbe-aaf3-405e-9e94-ac21756a0056,https://n2t.net/ark:/28722/k25q57b6k,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A72,"2012, ID:655",Locus 2,https://opencontext.org/subjects/67fba588-09b4-47dd-bf12-cb6e6abb50b8,43.152955017104354,11.400341992975706,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20120159Profile.jpg,2017-10-04T04:29:01Z,2023-10-07T07:27:42Z,bone (material),https://vocab.getty.edu/aat/300011798,,,,,,,Bone,,Production Material::Worked Bone,2012,Bone,Production Material
PC 20050079,http://opencontext.org/subjects/66290375-ee0a-426a-2670-1691e9fe33f6,https://n2t.net/ark:/28722/k2z60h11h,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 30H,"2005, ID:562",Locus 3,https://opencontext.org/subjects/40501453-1944-476b-aed4-d0a95725fda1,43.152752816464734,11.401806803428292,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20050079illjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T00:03:57Z,rock (inorganic material),https://vocab.getty.edu/aat/300011692,inlays (decorations),https://vocab.getty.edu/aat/300256033,,,,,Stone,,Ornament::Inlay / Inset,2005,Stone,Ornament
PC 19820084,http://opencontext.org/subjects/28458594-a0aa-42f3-b033-894c19294336,https://n2t.net/ark:/28722/k2g73c37s,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1982, ID:112",,https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451,43.15262180161789,11.401814300938312,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19820084bwbjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T17:36:06Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,1982,Impasto,Textile Related
PC 19840066,http://opencontext.org/subjects/50d033c4-d34a-4c3c-3529-f2931fe8afd0,https://n2t.net/ark:/28722/k2f76b69h,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 25,"1984, ID:102",,https://opencontext.org/subjects/bf12f33f-c18c-4f84-0470-b64f86679044,43.15259526459206,11.401612861900468,-700,-535,Architectural Element,https://opencontext.org/static/oc/icons-v2/noun-architecture-column-3507450.svg,"https://iiif.archive.org/iiif/opencontext-24-19840066bwjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-30T23:30:46Z,terracotta (clay material),https://vocab.getty.edu/aat/300010669,acroteria,https://vocab.getty.edu/aat/300002214,Acroterion,https://en.wikipedia.org/wiki/Acroterion,Terracotta,https://en.wikipedia.org/wiki/Terracotta,Terracotta,,Architectural::Akroterion,1984,Terracotta,Architectural
