Item Label,URI,Citation URI,Project,Project URI,Context,Context [2],Context [3],Context [4],Context [5],Context [6],Context [7],Context URI,Latitude (WGS 84),Longitude (WGS 84),Early BCE/CE,Late BCE/CE,Item Category,icon,Thumbnail,Published Date,Updated Date,Consists of,Consists of [URI],Has type,Has type [URI],Has type [cidoc-crm-p2-has-type],Has type [cidoc-crm-p2-has-type] [URI],Consists of [cidoc-crm-p45-consists-of],Consists of [cidoc-crm-p45-consists-of] [URI],Fabric Category,Object Type [24-object-type],Object Type,Find Year,Main Fabric,Main Object Type
PC 19970127,http://opencontext.org/subjects/3c33a62a-0a21-4c1b-b285-b9bb5ac83053,https://n2t.net/ark:/28722/k2t72q68g,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro South Flank,Tesoro South Flank 0,"1997, ID:355",,https://opencontext.org/subjects/b79defa4-eb3a-4e9d-db25-711792610c21,43.153009862891395,11.401263278263443,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19970127interiorjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T12:41:12Z,bucchero ware,https://vocab.getty.edu/aat/300387149,,,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1997,Bucchero,Vessel
PC 19980158,http://opencontext.org/subjects/4be6a93a-4155-40e5-ba4c-73c15b180960,https://n2t.net/ark:/28722/k2v12ff53,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Agger,Agger 9 Extension,"1998, ID:363",,https://opencontext.org/subjects/b98e614b-da64-41be-1ce8-9e5d3496c96d,43.15311809095423,11.401165158499921,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19980158illjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T23:52:08Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Impasto,,Vessel,1998,Impasto,Vessel
PC 19990102,http://opencontext.org/subjects/eb8e7793-b237-432b-3412-2eb2ef587ea1,https://n2t.net/ark:/28722/k2g15z849,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15337176054864,11.399452276791141,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/19990102top[1].jpg,2012-12-28T00:00:00Z,2024-01-31T14:25:17Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),oinochoai,https://vocab.getty.edu/aat/300198866,Oenochoe|Oinochoe,https://en.wikipedia.org/wiki/Oenochoe|https://kerameikos.org/id/oinochoe,,,Impasto,,Vessel,1999,Impasto,Vessel
VdM20060124,http://opencontext.org/subjects/f543fab7-289e-4d83-5cc6-400f2d044c3a,https://n2t.net/ark:/28722/k2jw86p7d,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Vescovado di Murlo,Upper Vescovado,Vescovado 2,"2006, ID:577",Locus 8,https://opencontext.org/subjects/cf2909e3-42c2-49ce-b4b6-d4e47ae5a5af,43.17118073417523,11.391164972369436,-535,-50,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20060124fmaajpg.jpg,2012-12-28T00:00:00Z,2024-01-31T10:43:55Z,,,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Black Glaze Ceramic,,Vessel,2006,Black Glaze Ceramic,Vessel
PC 19790199,http://opencontext.org/subjects/d245557d-7049-4c31-44ac-437f08cdced1,https://n2t.net/ark:/28722/k2t72cg02,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 23,"1979, ID:92",,https://opencontext.org/subjects/3ecf9e3d-995b-4156-6ab7-87a8ba5bca99,43.15266921386905,11.40210472404946,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19790199illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T04:23:18Z,,,bowls (vessels),https://vocab.getty.edu/aat/300203596,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,Orange Ware,,Vessel,1979,Orange Ware,Vessel
PC 19990103,http://opencontext.org/subjects/c1dbc6c3-1565-460e-d936-2271ff13e616,https://n2t.net/ark:/28722/k2ks6p284,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15337176054864,11.399452276791141,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/19990103profile[1].jpg,2012-12-28T00:00:00Z,2024-01-31T11:09:03Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),oinochoai,https://vocab.getty.edu/aat/300198866,Oenochoe|Oinochoe,https://en.wikipedia.org/wiki/Oenochoe|https://kerameikos.org/id/oinochoe,,,Impasto,,Vessel,1999,Impasto,Vessel
PC 19760096,http://opencontext.org/subjects/4828e2c0-49f7-46a3-9d37-9346db36b970,https://n2t.net/ark:/28722/k2zp4110k,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 19 Extension,"1976, ID:79",,https://opencontext.org/subjects/1c8a3854-31c8-42dc-d4bb-254ecce95b62,43.15349681221135,11.401851373750384,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19760096jpg.jpg,2012-12-28T00:00:00Z,2024-01-31T09:07:15Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Impasto,,Vessel,1976,Impasto,Vessel
PC 19810082,http://opencontext.org/subjects/8e0ab63e-d2bb-4edd-1966-c734ca6d1fab,https://n2t.net/ark:/28722/k29886n06,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 23,"1981, ID:419",,https://opencontext.org/subjects/171aa8d2-bc5f-4d17-f3b0-5a49dd4e3db2,43.15272166718144,11.40210752946137,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19810082illjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T12:20:02Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,1981,Impasto,Textile Related
PC 20040174,http://opencontext.org/subjects/28c6e7d9-3f5d-4d06-a3bc-e081d113f07a,https://n2t.net/ark:/28722/k2125v79b,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 30B,"2004, ID:536",Locus 7,https://opencontext.org/subjects/cd38a662-f249-4ea3-9e8e-d3a7d3ff9075,43.152781058702566,11.401815559389721,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20040174bjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T00:10:30Z,bone (material),https://vocab.getty.edu/aat/300011798,,,,,,,Bone,,Production Material::Worked Bone,2004,Bone,Production Material
PC 19990099,http://opencontext.org/subjects/2cc0f946-95f0-4d40-7753-6c61d3a416cc,https://n2t.net/ark:/28722/k22r3sv4m,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15337176054864,11.399452276791141,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19990099illustrationbackviewjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T23:23:34Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),oinochoai,https://vocab.getty.edu/aat/300198866,Oenochoe|Oinochoe,https://en.wikipedia.org/wiki/Oenochoe|https://kerameikos.org/id/oinochoe,,,Impasto,,Vessel,1999,Impasto,Vessel
PC 20030129,http://opencontext.org/subjects/3b136f69-8a97-47f5-226a-070d24a6bb0b,https://n2t.net/ark:/28722/k28052j2z,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 32,"2003, ID:509",Locus 4,https://opencontext.org/subjects/5be931fd-8cfd-46a6-9e20-03fffc27a3da,43.15267917471133,11.401616702397,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-20030129illustrationclaspdetailjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T10:25:03Z,bronze (metal),https://vocab.getty.edu/aat/300010957,chains (object genres),https://vocab.getty.edu/aat/300014625,,,,,Bronze,,"Costume, Accessories::Chain / Links",2003,Bronze,"Costume, Accessories"
PC 19810190,http://opencontext.org/subjects/cbe0870d-56e4-416d-813e-98280c49df94,https://n2t.net/ark:/28722/k27m0805q,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 23,"1981, ID:419",,https://opencontext.org/subjects/171aa8d2-bc5f-4d17-f3b0-5a49dd4e3db2,43.1527265923751,11.402097244339451,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19810190illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T23:48:26Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,1981,Impasto,Textile Related
PC 19990098,http://opencontext.org/subjects/0fd3ef41-92a8-497a-6d87-31ae8313f124,https://n2t.net/ark:/28722/k2z31sm47,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15336607102747,11.399455657528796,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/19990098top[2].jpg,2012-12-28T00:00:00Z,2024-01-31T07:12:09Z,,,oinochoai,https://vocab.getty.edu/aat/300198866,Oenochoe|Oinochoe,https://en.wikipedia.org/wiki/Oenochoe|https://kerameikos.org/id/oinochoe,,,Italo-Corinthian Ware,,Vessel,1999,Italo-Corinthian Ware,Vessel
PC 20190035,http://opencontext.org/subjects/b96dfa52-eec1-4aca-a411-e4086d49cb45,https://n2t.net/ark:/28722/k2pk0pt16,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 90,T90 2019,Locus 25,https://opencontext.org/subjects/be50f7dc-f7f1-4ad5-a2c2-a63677befde1,43.15286492080492,11.400844096672213,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/2019-media/thumbs/20190035d-8-11-36.jpg,2019-09-13T16:47:17Z,2023-10-07T07:30:42Z,ceramic (material),https://vocab.getty.edu/aat/300235507,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Coarse Ware,,Vessel,2019,Coarse Ware,Vessel
PC 19820030,http://opencontext.org/subjects/558dbd75-fc79-4a38-dd03-1cbb2cd59357,https://n2t.net/ark:/28722/k2sb41z15,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1982, ID:112",,https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451,43.15258932941856,11.401889056326498,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19820030bwbjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T04:57:30Z,bucchero ware,https://vocab.getty.edu/aat/300387149,spools,https://vocab.getty.edu/aat/300023528,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Textile Related::Rocchetto,1982,Bucchero,Textile Related
PC 19810182,http://opencontext.org/subjects/30348bd4-35bc-421e-89f1-a06531eb6010,https://n2t.net/ark:/28722/k2vd6t46d,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 23,"1981, ID:419",,https://opencontext.org/subjects/171aa8d2-bc5f-4d17-f3b0-5a49dd4e3db2,43.152756739852705,11.40212417809982,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19810182illjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T06:45:03Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,1981,Impasto,Textile Related
PC 20070107,http://opencontext.org/subjects/0741f14e-8aff-4bb0-38a5-cee6c4a17d8a,https://n2t.net/ark:/28722/k2kw5ch1h,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 46,"2007, ID:585",,https://opencontext.org/subjects/f5332a70-73be-4e87-ad91-08f0abf7bfb1,43.152772325806694,11.401894823827702,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-20070107jpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T05:41:41Z,bucchero ware,https://vocab.getty.edu/aat/300387149,,,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,2007,Bucchero,Vessel
PC 20070199,http://opencontext.org/subjects/0d49ac39-f009-47d6-d434-ee1d62d2a56b,https://n2t.net/ark:/28722/k2s46n50h,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 47,"2007, ID:586",Locus 18,https://opencontext.org/subjects/77fb13d3-12e1-4aab-a89c-4c86ad067b43,43.15275934522281,11.40180462415309,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-20070199reversejpg.jpg,2012-12-28T00:00:00Z,2024-01-31T18:58:38Z,bone (material),https://vocab.getty.edu/aat/300011798,inlays (decorations),https://vocab.getty.edu/aat/300256033,,,,,Bone,,Ornament::Inlay / Inset,2007,Bone,Ornament
PC 19900021,http://opencontext.org/subjects/8ccc044e-5da3-45ce-7136-210ae506401a,https://n2t.net/ark:/28722/k2wh2jc5k,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 33,"1990, ID:197",,https://opencontext.org/subjects/373b16b4-8e0f-4008-8d24-43685aa72064,43.153700339188006,11.39919059660323,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19900021djpg.jpg,2012-12-28T00:00:00Z,2024-01-31T06:13:11Z,quartz (mineral),https://vocab.getty.edu/aat/300011132,,,,,,,Quartz,,Unclassified / Debris / Misc.,1990,Quartz,Unclassified / Debris / Misc.
PC 19810083,http://opencontext.org/subjects/2578fe6e-35fe-4dc8-0842-b97dee4e0856,https://n2t.net/ark:/28722/k2hh6h543,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1981, ID:109",,https://opencontext.org/subjects/c4e13506-ccfb-4538-8307-412eab609cab,43.15271202330631,11.401998656546679,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19810083illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T17:46:19Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,1981,Impasto,Textile Related
PC 19710569,http://opencontext.org/subjects/878663fc-00f9-4974-5fa9-1f8100e40c28,https://n2t.net/ark:/28722/k29k4nj57,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro Rectangle,Tesoro Rectangle 7,"1971, ID:283",,https://opencontext.org/subjects/b91809da-a28d-438b-f735-636d941825e1,43.153401154163625,11.401426775565039,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19710569illustrationjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T20:00:54Z,bucchero ware,https://vocab.getty.edu/aat/300387149,,,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1971,Bucchero,Vessel
PC 19720280,http://opencontext.org/subjects/af3090b0-301c-41a0-d290-3f616ac074ef,https://n2t.net/ark:/28722/k2ng4ms13,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 18 Northern Extension,"1972, ID:72",,https://opencontext.org/subjects/aee1b762-b568-47fc-646a-76f7406fee0f,43.15352564570519,11.401787813825239,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19720280illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T23:36:53Z,bucchero ware,https://vocab.getty.edu/aat/300387149,bowls (vessels),https://vocab.getty.edu/aat/300203596,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1972,Bucchero,Vessel
PC 19990101,http://opencontext.org/subjects/387b594d-fa5e-440c-dbaa-cf1d3c6b6547,https://n2t.net/ark:/28722/k2b857g11,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 42,"1999, ID:366",,https://opencontext.org/subjects/6621600b-3b5d-4b99-71f9-e42c18656e59,43.15337176054864,11.399452276791141,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/19990101top[2].jpg,2012-12-28T00:00:00Z,2024-01-31T02:09:55Z,ceramic (material),https://vocab.getty.edu/aat/300235507,pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Coarse Ware,,Vessel,1999,Coarse Ware,Vessel
PC 19900031,http://opencontext.org/subjects/734b264c-4439-4981-5dd4-246a8071a3e2,https://n2t.net/ark:/28722/k21n82m1w,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1990, ID:137",,https://opencontext.org/subjects/9f5548ef-c05a-471a-2531-99d056c0392e,43.15269380645308,11.401801933559536,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19900031illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-30T23:20:01Z,bone (material),https://vocab.getty.edu/aat/300011798,beads (pierced objects),https://vocab.getty.edu/aat/300234006,,,,,Bone,,"Costume, Accessories::Bead",1990,Bone,"Costume, Accessories"
PC 19820028,http://opencontext.org/subjects/491f6032-7136-4978-77b7-f9306f8d2cf1,https://n2t.net/ark:/28722/k2nk3b47t,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1982, ID:112",,https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451,43.15263719084807,11.401956161224192,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19820028illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T19:07:21Z,,,alabastra,https://vocab.getty.edu/aat/300198887,Alabastron,https://en.wikipedia.org/wiki/Alabastron,,,Italo-Corinthian Ware,,Vessel,1982,Italo-Corinthian Ware,Vessel
PC 20000007,http://opencontext.org/subjects/2c349005-6e72-4393-0fae-8f5bd29bd7c4,https://n2t.net/ark:/28722/k2n58hj14,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 46,"2000, ID:415",,https://opencontext.org/subjects/3427ed52-fea9-4e28-e250-4ecf923a116a,43.15339950590386,11.39927012921224,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-20000007sidebjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T12:57:40Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,2000,Impasto,Textile Related
PC 19820003,http://opencontext.org/subjects/628dcca0-89d9-4190-d70b-75710bd8bdd3,https://n2t.net/ark:/28722/k2xw4cv9k,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1982, ID:112",,https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451,43.152595610197054,11.401932555214543,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19820003jpg.jpg,2012-12-28T00:00:00Z,2024-01-31T06:30:42Z,bucchero ware,https://vocab.getty.edu/aat/300387149,"plates (general, dishes)",https://vocab.getty.edu/aat/300042991,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1982,Bucchero,Vessel
PC 19700107,http://opencontext.org/subjects/2055d01b-a652-42fc-c57b-0311a05c73ca,https://n2t.net/ark:/28722/k2jq0xs85,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Civitate A,Civitate A 28,"1970, ID:195",,https://opencontext.org/subjects/ba4dd0ac-d9fc-43ae-b343-7a100244fce0,43.153492935785636,11.401295014690838,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19700107illjpg.jpg,2012-12-28T00:00:00Z,2024-01-31T07:31:00Z,bucchero ware,https://vocab.getty.edu/aat/300387149,,,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1970,Bucchero,Vessel
PC 19750015,http://opencontext.org/subjects/b12b7b29-3cae-4116-1cc7-08f8a2c3bdcd,https://n2t.net/ark:/28722/k2wm1kk1d,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro Rectangle,Tesoro Rectangle 9,"1975, ID:289",,https://opencontext.org/subjects/1427ab95-f567-4a47-630b-094e82651a49,43.15327287030469,11.401368105073145,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19750015jpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T07:50:01Z,bucchero ware,https://vocab.getty.edu/aat/300387149,,,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1975,Bucchero,Vessel
PC 19860031,http://opencontext.org/subjects/d6514070-8c5c-4a9f-b81f-375accdabe7c,https://n2t.net/ark:/28722/k2jw8bm56,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1986, ID:123",,https://opencontext.org/subjects/3b1b5bdc-9cea-4f21-46cf-a1698373cede,43.15258889460795,11.4021151173326,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,"https://iiif.archive.org/iiif/opencontext-24-19860031illjpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T10:30:56Z,bucchero ware,https://vocab.getty.edu/aat/300387149,,,,,Bucchero,https://en.wikipedia.org/wiki/Bucchero,Bucchero,,Vessel,1986,Bucchero,Vessel
PC 19820110,http://opencontext.org/subjects/8690ed73-8e78-4766-b0a2-e70dea576d74,https://n2t.net/ark:/28722/k29k49s6q,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1982, ID:112",,https://opencontext.org/subjects/ddf93ae8-2cb7-4fc8-0d49-a204d6d19451,43.152652225768584,11.401778327629598,-700,-535,Object,https://opencontext.org/static/oc/icons-v2/object-icon-draft-2.svg,"https://iiif.archive.org/iiif/opencontext-24-19820110jpg/full/150,/0/default.jpg",2012-12-28T00:00:00Z,2024-01-31T11:20:01Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),spools,https://vocab.getty.edu/aat/300023528,,,,,Impasto,,Textile Related::Rocchetto,1982,Impasto,Textile Related
PC 19880125,http://opencontext.org/subjects/49fab282-b42a-4735-d675-708f03772b0a,https://n2t.net/ark:/28722/k29w0dz3b,Murlo,https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f,Europe,Italy,Poggio Civitate,Tesoro,Tesoro 26,"1988, ID:130",,https://opencontext.org/subjects/c6841408-c4d0-4f1f-b163-0f093bd2ec6f,43.15263639300543,11.401862528196519,-700,-535,Pottery,https://opencontext.org/static/oc/icons-v2/noun-pottery-2956136.svg,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/photos/19880125Top.jpg,2012-12-28T00:00:00Z,2024-01-31T00:04:43Z,Impasto (pottery),https://en.wikipedia.org/wiki/Impasto_(pottery),pottery (visual works),https://vocab.getty.edu/aat/300010666,,,,,Impasto,,Vessel,1988,Impasto,Vessel
