label,uri,page_id,node_id,resource_pk,resource_id,preferred_canonical_for_page,gbif_id,gbif_rel_method,gbif_uri,gbif_can_name,gbif_vern_name
Gastropoda,http://eol.org/pages/2366,2366,61363152.0,Gastropoda,767.0,Gastropoda,,,,,
Patellidae,http://eol.org/pages/2385,2385,62066704.0,Patellidae,767.0,Patellidae,,,,,
Neogastropoda,http://eol.org/pages/2447,2447,62038837.0,Neogastropoda,767.0,Neogastropoda,,,,,
Buccinidae,http://eol.org/pages/2448,2448,62397389.0,Babyloniidae,767.0,Babyloniidae,,,,,
Muricidae,http://eol.org/pages/2461,2461,62073980.0,Muricidae,767.0,Muricidae,,,,,
Stylommatophora,http://eol.org/pages/2626,2626,61533670.0,Stylommatophora,767.0,Stylommatophora,,,,,
Cypriniformes,http://eol.org/pages/3194,3194,61294728.0,Cypriniformes,767.0,Cypriniformes,,,,,
Catostomidae,http://eol.org/pages/3196,3196,62102433.0,Catostomidae,767.0,Catostomidae,,,,,
Cyprinidae,http://eol.org/pages/3198,3198,61294729.0,Cyprinidae,767.0,Cyprinidae,,,,,
Poales,http://eol.org/pages/4075,4075,61478513.0,Poales,767.0,Poales,,,,,
Juncaceae,http://eol.org/pages/4076,4076,62237417.0,Juncaceae,767.0,Juncaceae,,,,,
Tracheophyta,http://eol.org/pages/4077,4077,61323484.0,Tracheophyta,767.0,Tracheophyta,,,,,
Liliaceae,http://eol.org/pages/4174,4174,61323487.0,Liliaceae,767.0,Liliaceae,,,,,
Apiaceae,http://eol.org/pages/4200,4200,62216031.0,Apiaceae,767.0,Apiaceae,,,,,
Rubiaceae,http://eol.org/pages/4202,4202,62211373.0,Rubiaceae,767.0,Rubiaceae,,,,,
Asteraceae,http://eol.org/pages/4206,4206,61343087.0,Asteraceae,767.0,Asteraceae,,,,,
Brassicaceae,http://eol.org/pages/4219,4219,62238110.0,Brassicaceae,767.0,Brassicaceae,,,,,
Nepenthales,http://eol.org/pages/4223,4223,62110063.0,Caryophyllales,767.0,Caryophyllales,,,,,
Caryophyllaceae,http://eol.org/pages/4229,4229,62169403.0,Caryophyllaceae,767.0,Caryophyllaceae,,,,,
Molluginaceae,http://eol.org/pages/4231,4231,62168839.0,Molluginaceae,767.0,Molluginaceae,,,,,
Portulacaceae,http://eol.org/pages/4234,4234,62339410.0,Portulacaceae,767.0,Portulacaceae,,,,,
Dipsacales,http://eol.org/pages/4256,4256,61654283.0,Dipsacales,767.0,Dipsacales,,,,,
Polygalales,http://eol.org/pages/4276,4276,61478858.0,Fabales,767.0,Fabales,,,,,
Fabaceae (beans),http://eol.org/pages/4277,4277,62212347.0,Fabaceae,767.0,Fabaceae,,,,,
Rubiales,http://eol.org/pages/4279,4279,,,,,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62157509.0,Boraginaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,63716592.0,Codonaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62299985.0,Heliotropiaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62572181.0,Wellstediaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62113003.0,Hydrophyllaceae,767.0,Boraginaceae,,,,,
Boraginaceae,http://eol.org/pages/4301,4301,62291444.0,Ehretiaceae,767.0,Boraginaceae,,,,,
Lamiaceae,http://eol.org/pages/4302,4302,62157279.0,Lamiaceae,767.0,Lamiaceae,,,,,
Sapindales,http://eol.org/pages/4311,4311,62115992.0,Sapindales,767.0,Sapindales,,,,,
Linaceae,http://eol.org/pages/4315,4315,62155403.0,Linaceae,767.0,Linaceae,,,,,
Malvaceae,http://eol.org/pages/4321,4321,62242574.0,Malvaceae,767.0,Malvaceae,,,,,
Ranunculales,http://eol.org/pages/4346,4346,62121572.0,Ranunculales,767.0,Ranunculales,,,,,
Papaveraceae,http://eol.org/pages/4348,4348,62126275.0,Papaveraceae,767.0,Papaveraceae,,,,,
Polygonaceae,http://eol.org/pages/4364,4364,62124002.0,Polygonaceae,767.0,Polygonaceae,,,,,
Primulaceae,http://eol.org/pages/4367,4367,62211870.0,Primulaceae,767.0,Primulaceae,,,,,
Ranunculaceae,http://eol.org/pages/4377,4377,62121573.0,Ranunculaceae,767.0,Ranunculaceae,,,,,
Rhamnaceae,http://eol.org/pages/4381,4381,62120354.0,Rhamnaceae,767.0,Rhamnaceae,,,,,
Vitaceae,http://eol.org/pages/4382,4382,62326593.0,Vitaceae,767.0,Vitaceae,,,,,
Rosales,http://eol.org/pages/4385,4385,61503514.0,Rosales,767.0,Rosales,,,,,
Zygophyllaceae,http://eol.org/pages/4418,4418,62115511.0,Zygophyllaceae,767.0,Zygophyllaceae,,,,,
Oleaceae,http://eol.org/pages/4426,4426,62365982.0,Oleaceae,767.0,Oleaceae,,,,,
Scrophulariaceae,http://eol.org/pages/4429,4429,62114233.0,Scrophulariaceae,767.0,Scrophulariaceae,,,,,
Convolvulaceae,http://eol.org/pages/4431,4431,62113666.0,Convolvulaceae,767.0,Convolvulaceae,,,,,
Solanaceae,http://eol.org/pages/4437,4437,62301411.0,Solanaceae,767.0,Solanaceae,,,,,
Moraceae,http://eol.org/pages/4450,4450,62288018.0,Moraceae,767.0,Moraceae,,,,,
Tamaricaceae,http://eol.org/pages/4464,4464,62284266.0,Tamaricaceae,767.0,Tamaricaceae,,,,,
Tetraodontiformes,http://eol.org/pages/5052,5052,62017784.0,Tetraodontiformes,767.0,Tetraodontiformes,,,,,
Monacanthidae,http://eol.org/pages/5058,5058,62120236.0,Monacanthidae,767.0,Monacanthidae,,,,,
Balistidae,http://eol.org/pages/5061,5061,62090954.0,Balistidae,767.0,Balistidae,,,,,
Syngnathiformes,http://eol.org/pages/5063,5063,62020666.0,Syngnathiformes,767.0,Syngnathiformes,,,,,
