label,uri,page_id,node_id,resource_pk,resource_id,preferred_canonical_for_page,gbif_id,gbif_rel_method,gbif_uri,gbif_can_name,gbif_vern_name
Sittidae,http://eol.org/pages/1609,1609,63147657.0,5283,767.0,Sittidae,5283.0,EOL-GBIF-names,https://www.gbif.org/species/5283,Sittidae,Nuthatches
Passeridae,http://eol.org/pages/1627,1627,62153557.0,Passeridae,767.0,Passeridae,,,,,
Passeridae,http://eol.org/pages/1627,1627,63141089.0,5264,767.0,Passeridae,5264.0,EOL-GBIF-names,https://www.gbif.org/species/5264,Passeridae,old world sparrows & snowfinches
Parulidae,http://eol.org/pages/1628,1628,62153617.0,Parulidae,767.0,Parulidae,,,,,
Parulidae,http://eol.org/pages/1628,1628,63140731.0,5263,767.0,Parulidae,5263.0,EOL-GBIF-names,https://www.gbif.org/species/5263,Parulidae,New World Warblers
Paridae,http://eol.org/pages/1629,1629,62150446.0,Paridae,767.0,Paridae,,,,,
Paridae,http://eol.org/pages/1629,1629,64349167.0,9327,767.0,Paridae,9327.0,EOL-GBIF-names,https://www.gbif.org/species/9327,Paridae,Chickadees
Mammalia,http://eol.org/pages/1642,1642,62489182.0,359,767.0,Mammalia,359.0,EOL-GBIF-names,https://www.gbif.org/species/359,Mammalia,Mammals
Mammalia,http://eol.org/pages/1642,1642,61531389.0,Mammalia,767.0,Mammalia,,,,,
Primates,http://eol.org/pages/1645,1645,63777583.0,798,767.0,Primates,798.0,EOL-GBIF-names,https://www.gbif.org/species/798,Primates,primate
Primates,http://eol.org/pages/1645,1645,62134370.0,Primates,767.0,Primates,,,,,
Hominidae,http://eol.org/pages/1653,1653,62395143.0,Pongidae,767.0,Pongidae,,,,,
Hominidae,http://eol.org/pages/1653,1653,62395144.0,3239570,767.0,Pongidae,3239570.0,EOL-GBIF-names,https://www.gbif.org/species/3239570,Pongidae,
Cercopithecidae,http://eol.org/pages/1657,1657,64471190.0,9622,767.0,Cercopithecidae,9622.0,EOL-GBIF-names,https://www.gbif.org/species/9622,Cercopithecidae,Old World monkeys
Cercopithecidae,http://eol.org/pages/1657,1657,62134496.0,Cercopithecidae,767.0,Cercopithecidae,,,,,
"Perissodactyla (Horses, Rhinoceroses, and Tapirs)",http://eol.org/pages/1667,1667,63768432.0,795,767.0,Perissodactyla,795.0,EOL-GBIF-names,https://www.gbif.org/species/795,Perissodactyla,Odd-toed Ungulates
"Perissodactyla (Horses, Rhinoceroses, and Tapirs)",http://eol.org/pages/1667,1667,62137669.0,Perissodactyla,767.0,Perissodactyla,,,,,
Equidae,http://eol.org/pages/1670,1670,63206267.0,5479,767.0,Equidae,5479.0,EOL-GBIF-names,https://www.gbif.org/species/5479,Equidae,Asses
Equidae,http://eol.org/pages/1670,1670,62137681.0,Equidae,767.0,Equidae,,,,,
Lagomorpha,http://eol.org/pages/1686,1686,63737603.0,785,767.0,Lagomorpha,785.0,EOL-GBIF-names,https://www.gbif.org/species/785,Lagomorpha,Hares
Lagomorpha,http://eol.org/pages/1686,1686,62134615.0,Lagomorpha,767.0,Lagomorpha,,,,,
Leporidae,http://eol.org/pages/1689,1689,64371288.0,9379,767.0,Leporidae,9379.0,EOL-GBIF-names,https://www.gbif.org/species/9379,Leporidae,Hares
Leporidae,http://eol.org/pages/1689,1689,62134620.0,Leporidae,767.0,Leporidae,,,,,
Leporidae,http://eol.org/pages/1689,1689,63943660.0,Palaeolagidae,767.0,Leporidae,,,,,
Leporidae,http://eol.org/pages/1689,1689,63956733.0,Strenulagidae,767.0,Leporidae,,,,,
Erinaceomorpha,http://eol.org/pages/1692,1692,62134750.0,Erinaceomorpha,767.0,Erinaceomorpha,,,,,
Erinaceomorpha,http://eol.org/pages/1692,1692,63870685.0,829,767.0,Erinaceomorpha,829.0,EOL-GBIF-names,https://www.gbif.org/species/829,Erinaceomorpha,
Erinaceidae,http://eol.org/pages/1693,1693,63259528.0,5722,767.0,Erinaceidae,5722.0,EOL-GBIF-names,https://www.gbif.org/species/5722,Erinaceidae,gymnures
Erinaceidae,http://eol.org/pages/1693,1693,62134751.0,Erinaceidae,767.0,Erinaceidae,,,,,
Reptilia,http://eol.org/pages/1703,1703,62487031.0,358,767.0,Reptilia,358.0,EOL-GBIF-names,https://www.gbif.org/species/358,Reptilia,Reptiles
Reptilia,http://eol.org/pages/1703,1703,61388508.0,Reptilia,767.0,Reptilia,,,,,
"Squamata Oppel, 1811",http://eol.org/pages/1704,1704,63501360.0,715,767.0,Squamata,715.0,EOL-GBIF-names,https://www.gbif.org/species/715,Squamata,Amphisbaenians
"Squamata Oppel, 1811",http://eol.org/pages/1704,1704,61547950.0,Squamata,767.0,Squamata,,,,,
"Squamata Oppel, 1811",http://eol.org/pages/1704,1704,61388509.0,Squamata,767.0,Squamata,,,,,
Lacertidae,http://eol.org/pages/1708,1708,62142964.0,Lacertidae,767.0,Lacertidae,,,,,
Lacertidae,http://eol.org/pages/1708,1708,63122326.0,5201,767.0,Lacertidae,5201.0,EOL-GBIF-names,https://www.gbif.org/species/5201,Lacertidae,Lacertid Lizards
Colubridae,http://eol.org/pages/1722,1722,63355877.0,6172,767.0,Colubridae,6172.0,EOL-GBIF-names,https://www.gbif.org/species/6172,Colubridae,Colubrids
Colubridae,http://eol.org/pages/1722,1722,62099345.0,Colubridae,767.0,Colubridae,,,,,
Crocodylidae,http://eol.org/pages/1739,1739,62138003.0,Crocodylidae,767.0,Crocodylidae,,,,,
Crocodylidae,http://eol.org/pages/1739,1739,63248304.0,5685,767.0,Crocodylidae,5685.0,EOL-GBIF-names,https://www.gbif.org/species/5685,Crocodylidae,Crocodiles
Elasmobranchii,http://eol.org/pages/1857,1857,61393872.0,121,767.0,Elasmobranchii,121.0,EOL-GBIF-names,https://www.gbif.org/species/121,Elasmobranchii,elasmobranch
Elasmobranchii,http://eol.org/pages/1857,1857,61383129.0,Elasmobranchii,767.0,Elasmobranchii,,,,,
Rajiformes,http://eol.org/pages/1858,1858,64097756.0,884,767.0,Rajiformes,884.0,EOL-GBIF-names,https://www.gbif.org/species/884,Rajiformes,ray
Rajiformes,http://eol.org/pages/1858,1858,62095049.0,Rajiformes,767.0,Rajiformes,,,,,
"Lamniformes Garman, 1885",http://eol.org/pages/1874,1874,62005305.0,Lamniformes,767.0,Lamniformes,,,,,
"Lamniformes Garman, 1885",http://eol.org/pages/1874,1874,64103491.0,885,767.0,Lamniformes,885.0,EOL-GBIF-names,https://www.gbif.org/species/885,Lamniformes,mackerel shark
Carcharhinidae,http://eol.org/pages/1901,1901,62011676.0,Carcharhinidae,767.0,Carcharhinidae,,,,,
Carcharhinidae,http://eol.org/pages/1901,1901,62011677.0,2211,767.0,Carcharhinidae,2211.0,EOL-GBIF-names,https://www.gbif.org/species/2211,Carcharhinidae,requiem shark
Actinopterygii,http://eol.org/pages/1905,1905,61888855.0,204,767.0,Actinopterygii,204.0,EOL-GBIF-names,https://www.gbif.org/species/204,Actinopterygii,ray-finned fish
Actinopterygii,http://eol.org/pages/1905,1905,61294727.0,Actinopterygii,767.0,Actinopterygii,,,,,
Zeiformes,http://eol.org/pages/1906,1906,64120602.0,888,767.0,Zeiformes,888.0,EOL-GBIF-names,https://www.gbif.org/species/888,Zeiformes,boarfishes
Zeiformes,http://eol.org/pages/1906,1906,62013923.0,Zeiformes,767.0,Zeiformes,,,,,
Zeidae,http://eol.org/pages/1908,1908,62013924.0,Zeidae,767.0,Zeidae,,,,,
Zeidae,http://eol.org/pages/1908,1908,62013925.0,2214,767.0,Zeidae,2214.0,EOL-GBIF-names,https://www.gbif.org/species/2214,Zeidae,John dories
"Echinodermata Bruguière, 1791 [ex Klein, 1734]",http://eol.org/pages/1926,1926,61378354.0,Echinodermata,767.0,Echinodermata,,,,,
"Echinodermata Bruguière, 1791 [ex Klein, 1734]",http://eol.org/pages/1926,1926,63021340.0,50,767.0,Echinodermata,50.0,EOL-GBIF-names,https://www.gbif.org/species/50,Echinodermata,echinoderms
Echinoidea,http://eol.org/pages/1971,1971,62010986.0,221,767.0,Echinoidea,221.0,EOL-GBIF-names,https://www.gbif.org/species/221,Echinoidea,heart urchins
Echinoidea,http://eol.org/pages/1971,1971,61378355.0,Echinoidea,767.0,Echinoidea,,,,,
Mollusca,http://eol.org/pages/2195,2195,63121874.0,52,767.0,Mollusca,52.0,EOL-GBIF-names,https://www.gbif.org/species/52,Mollusca,molluscs
Mollusca,http://eol.org/pages/2195,2195,61363151.0,Mollusca,767.0,Mollusca,,,,,
Not assigned,http://eol.org/pages/2206,2206,,,,,,,,,
Bivalvia,http://eol.org/pages/2215,2215,61478856.0,Bivalvia,767.0,Bivalvia,,,,,
Bivalvia,http://eol.org/pages/2215,2215,61478857.0,137,767.0,Bivalvia,137.0,EOL-GBIF-names,https://www.gbif.org/species/137,Bivalvia,bivalves
